address,campus_name,category,district,location,name,slno,th_campus,type,university
"KMCT College of Engineering, Manassery, Mukkam, Kozhikode","KMCT College of Engineering, Manassery",Engineering/Technical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=KMCT%20College%20of%20Engineering%2C%20Manassery%2C%20Mukkam%2C%20Kozhikode,,125,False,Unaided,Calicut University
"Farook Institute of Management Studies, Farook College, Kozhikkode 673 632","Farook Institute of Management Studies, Farook College",Engineering/Technical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Farook%20Institute%20of%20Management%20Studies%2C%20Farook%20College%2C%20Kozhikkode%20673%20632,,126,False,Unaided,Calicut University
"KMCT College of Engineering for Women, Thazhakode Village, Kalanthode, Kozhikode 673601","KMCT College of Engineering for Women, Kalanthode",Engineering/Technical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=KMCT%20College%20of%20Engineering%20for%20Women%2C%20Thazhakode%20Village%2C%20Kalanthode%2C%20Kozhikode%20673601,,127,False,Unaided,APJ Abdul Kalam Technological University
"SNES Institute of Management Studies and Research, Chethukadave, Kunnamangalam, Calicut 673571","SNES Institute of Management Studies and Research, Chethukadavu",Engineering/Technical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=SNES%20Institute%20of%20Management%20Studies%20and%20Research%2C%20Chethukadave%2C%20Kunnamangalam%2C%20Calicut%20673571,,128,False,Unaided,Calicut University
"Government Medical College, Kozhikode-673 008","Government Medical College, Kozhikode",Medical College,Kozhikode,https://maps.app.goo.gl/eTdx7wnVtg9bnwQq7,,129,False,Aided,Kerala University of Health Sciences
"KMCT Medical College, Manaserry PO, Mukkom, Kozhikode 673 602","KMCT Medical College, Manaserry",Medical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=KMCT%20Medical%20College%2C%20Manaserry%20PO%2C%20Mukkom%2C%20Kozhikode%20673%20602,,130,False,Aided,Kerala University of Health Sciences
"Government Dental College, Medical College Campus, Kozhikode 673 008","Government Dental College, Kozhikode",Dental College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Government%20Dental%20College%2C%20Medical%20College%20Campus%2C%20Kozhikode%20673%20008,,131,False,Aided,Kerala University of Health Sciences
"KMCT Dental College, Manassery PO, Mukkom, Kozhikode, 673 602","KMCT Dental College, Mukkom",Dental College,Kozhikode,https://www.google.com/maps/search/?api=1&query=KMCT%20Dental%20College%2C%20Manassery%20PO%2C%20Mukkom%2C%20Kozhikode%2C%20673%20602,,132,False,Unaided,Kerala University of Health Sciences
"Nirmala College of Nursing, Nirmala Hospital, Marikunnu PO, Kozhikode 673 012","Nirmala College of Nursing, Marikunnu",Nursing College,Kozhikode,https://maps.app.goo.gl/fn6DsPTrqwFosGcz8,,133,False,Unaided,Kerala University of Health Sciences
"Government College of Nursing, Medical College PO, Kozhikode 673 008","Government College of Nursing, Kozhikode",Nursing College,Kozhikode,https://maps.app.goo.gl/F8QFNdFoYSU97rqj6,,134,False,Government,Kerala University of Health Sciences
"Baby Memorial College of Nursing, Green View Villa Colony Road, Kuthiravattom PO, Kozhikkode 673 016","Baby Memorial Nursing College, Kozhikode",Nursing College,Kozhikode,https://maps.app.goo.gl/cMroGEcY1LJDtSW7A,,135,False,Unaided,Kerala University of Health Sciences
"National Hospital College of Nursing, IG Road, Pooladikunnu, Elathur, Kozhikode 673303","National Hospital College of Nursing, Elathur",Nursing College,Kozhikode,https://maps.app.goo.gl/pNVNTTnYiiG3vNKN7,,136,False,Unaided,Kerala University of Health Sciences
"PVS College of Nursing, PVS Hospital Building, Pantheerankavu, Kozhikode-673 002","PVS College of Nursing, Pantheerankavu",Nursing College,Kozhikode,https://maps.app.goo.gl/n5JXQMQaLvL1nVHv6,,137,False,Unaided,Kerala University of Health Sciences
"KMCT College of Nursing, Mampatta, Manaserry, Kozhikode 673 602","KMCT College of Nursing, Manaserry",Nursing College,Kozhikode,https://maps.app.goo.gl/CiPYesKmVGsMcya88,,138,False,Unaided,Kerala University of Health Sciences
"National College of Pharmacy, Manassery PO, Mukkam, Kozhikode 673 602","National College of Pharmacy, Mukkam",Pharmacy College,Kozhikode,https://www.google.com/maps/search/?api=1&query=National%20College%20of%20Pharmacy%2C%20Manassery%20PO%2C%20Mukkam%2C%20Kozhikode%20673%20602,,139,False,Unaided,Kerala University of Health Sciences
"JDT Islam College of Pharmacy, Marikkunnu, Jamiath Hill, Kozhikode 673 012","JDT Islam College of Pharmacy, Marikkunnu",Pharmacy College,Kozhikode,https://maps.app.goo.gl/7scxvkZ45sTZz6qe9,,140,False,Unaided,Kerala University of Health Sciences
"College of Pharmaceutical Sciences, Government Medical College, Kozhikkode","Government College of Pharmaceutical Sciences, Kozhikode",Pharmacy College,Kozhikode,https://maps.app.goo.gl/WvCorSk1hDD5X93o7,,141,False,Aided,Kerala University of Health Sciences
"Government College of Teacher Education, Kozhikode-1","Government College of Teacher Education, Kozhikode",Training College,Kozhikode,https://maps.app.goo.gl/JfaMiXr5ByUBmvP97,,142,False,Aided,Calicut University
"AWH College of Education, Kallai PO, Kozhikode","AWH College of Education, Kallai",Training College,Kozhikode,https://www.google.com/maps/search/?api=1&query=AWH%20College%20of%20Education%2C%20Kallai%20PO%2C%20Kozhikode,,143,False,Unaided,Calicut University
"Meppayur Salafi College of Teacher Education, Meppayur, PO Payyoli Angadi, Kozhikode-673 523","Salafi College of Teacher Education, Meppayur",Training College,Kozhikode,https://maps.app.goo.gl/9uGV2a6VTfTgctvj8,,144,False,Unaided,Calicut University
"Sree Narayana College of Teacher Education, Chelannur, Kozhikode","Sree Narayana College of Teacher Education, Chelannur",Training College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Sree%20Narayana%20College%20of%20Teacher%20Education%2C%20Chelannur%2C%20Kozhikode,,145,False,Unaided,Calicut University
"TI M Training College, Nadapuram PO, Kozhikode","TIM Training College, Nadapuram",Training College,Kozhikode,https://www.google.com/maps/search/?api=1&query=TI%20M%20Training%20College%2C%20Nadapuram%20PO%2C%20Kozhikode,,146,False,Unaided,Calicut University
"Bhavan's Ramakrishnan Institute of Teacher Education, Ramanattukara, Kozhidode 673 633","Bhavan  s Ramakrishna Institute of Teacher Education, Ramanattukara",Training College,Kozhikode,https://maps.app.goo.gl/F5ZS5fbbN1ydqYpH6,,147,False,Unaided,Calicut University
"KMCT College of Education, Chathamangalam, Kozhikode","KMCT College of Education, Chathamangalam",Training College,Kozhikode,https://maps.app.goo.gl/dig2FKjSXPfMALSL7,,148,False,Unaided,Calicut University
"CICS College of Teacher Education, Mahatma Gandi Nagar, Mathara, Guruvayurapppan College PO, Kozhikode 673014","CICS College of Teacher Education, Guruvayurappan College",Training College,Kozhikode,https://www.google.com/maps/search/?api=1&query=CICS%20College%20of%20Teacher%20Education%2C%20Mahatma%20Gandi%20Nagar%2C%20Mathara%2C%20Guruvayurapppan%20College%20PO%2C%20Kozhikode%20673014,,149,False,Unaided,Calicut University
