campus_name,slno,address,university,district,category,type,location,th_campus
"Mount Zion Medical College Hospital, Adoor",1096,"Mount Zion Medical College Hospital, Ezhamkulam, Adoor, Pathanamthitta 691556",Kerala University of Health Sciences,Pathanamthitta,Medical College,Unaided,https://www.google.com/maps/search/?api=1&query=Mount%20Zion%20Medical%20College%20Hospital%2C%20Ezhamkulam%2C%20Adoor%2C%20Pathanamthitta%20691556,False
"PK DAS Institute of Medical Sciences, Ottapalam",1097,"PK DAS Institute of Medical Sciences, Vaniamkulam PO, Ottapalam, Palakkad 679522",Kerala University of Health Sciences,Palakkad,Medical College,Unaided,https://www.google.com/maps/search/?api=1&query=PK%20DAS%20Institute%20of%20Medical%20Sciences%2C%20Vaniamkulam%20PO%2C%20Ottapalam%2C%20Palakkad%20679522,False
"Sree Uthradom Thirunal (SUT) Academy of Medical Science, Vattappara",1098,"Sree Uthradom Thirunal (SUT) Academy of Medical Science, Vencode, Vattappara PO, Thiruvananthapuram 695028",Kerala University of Health Sciences,Thiruvananthapuram,Medical College,Unaided,https://www.google.com/maps/search/?api=1&query=Sree%20Uthradom%20Thirunal%20%28SUT%29%20Academy%20of%20Medical%20Science%2C%20Vencode%2C%20Vattappara%20PO%2C%20Thiruvananthapuram%20695028,False
"Lisieux College of Paramedical Sciences, Mookkannur",1099,"Lisieux College of Paramedical Sciences, Mookkannoor PO, Angamaly,",Kerala University of Health Sciences,Ernakulam,Paramedical & Allied Sciences,Unaided,https://www.google.com/maps/search/?api=1&query=Lisieux%20College%20of%20Paramedical%20Sciences%2C%20Mookkannoor%20PO%2C%20Angamaly%2C,False
"Amrita Institute of Medical Science (AIMS), Ponekkara",1100,"Amrita Institute of Medical Science (AIMS), Ponekkara, PO Kochi 682 041, Ernakulam",Amrita University,Ernakulam,Medical College,Unaided,https://maps.app.goo.gl/sp17bztYYDoAA7vr8,False
"Indian Institute of Space Science and Technology (IIST), Valiamala",1101,"Indian Institute of Space Science and Technology (IIST), Valiamala, Thiruvananthapuram 695 547",,Thiruvananthapuram,Engineering/Technical College,Aided,https://maps.app.goo.gl/FBzdoXM2tNWUGeSaA,False
"Al-Ameen College, Shoranur",1102,"Al-Ameen College, Kulappully, Shoranur-2, Palakkad",APJ Abdul Kalam Technological University,Palakkad,Engineering/Technical College,Unaided,https://www.google.com/maps/search/?api=1&query=Al-Ameen%20College%2C%20Kulappully%2C%20Shoranur-2%2C%20Palakkad,False
"Baselios Marthoma Mathews II College of Engineering, Sasthamcotta",1103,"Baselios Marthoma Mathews II College of Engineering, Lake View, Muthupilakadu, Sasthamcotta, Kollam 690 520",APJ Abdul Kalam Technological University,Kollam,Engineering/Technical College,Unaided,https://maps.app.goo.gl/8S9zoHmGbnQLpWPY6,False
"College of Engineering, Muttathara",1104,"College of Engineering, Muttathara, St.Sebastian Church Road, Near BSF Sector Head Quarters, Vallakadavu P.O., Thiruvananthapuram, Pin-695 008",APJ Abdul Kalam Technological University,Thiruvananthapuram,Engineering/Technical College,Unaided,https://maps.app.goo.gl/kSkAPhKLZr6Kavfd8,False
"Government Engineering College, Mananthavady",1105,"Government Engineering College, Thalappuzha PO, Mananthavady, Wayanad 670 644",APJ Abdul Kalam Technological University,Wayanad,Engineering/Technical College,Aided,https://maps.app.goo.gl/MKZoriYQko9CKXGn9,False
"MGM College of Engineering and Technology, Pampakuda",1106,"MGM College of Engineering and Technology, Pampakuda, Muvattupuzha, Ernakulam 686667",APJ Abdul Kalam Technological University,Ernakulam,Engineering/Technical College,Unaided,https://www.google.com/maps/search/?api=1&query=MGM%20College%20of%20Engineering%20and%20Technology%2C%20Pampakuda%2C%20Muvattupuzha%2C%20Ernakulam%20686667,False
"Providence College of Engineering, Vattamala",1107,"Providence College of Engineering, Angadical South, Chenagnnur, Alappuzha 689122",APJ Abdul Kalam Technological University,Alappuzha,Engineering/Technical College,Unaided,https://www.google.com/maps/search/?api=1&query=Providence%20College%20of%20Engineering%2C%20Angadical%20South%2C%20Chenagnnur%2C%20Alappuzha%20689122,False
"Sree Narayana Institute of Technology, Adoor",1108,"Sree Narayana Institute of Technology, Theppupara P.O, Adoor, Pathanamthitta 691554",APJ Abdul Kalam Technological University,Pathanamthitta,Engineering/Technical College,,https://www.google.com/maps/search/?api=1&query=Sree%20Narayana%20Institute%20of%20Technology%2C%20Theppupara%20P.O%2C%20Adoor%2C%20Pathanamthitta%20691554,False
"Sreepathy Institute Of Management Techonlogy (SIMAT), Vavannor",1109,"Sreepathy Institute Of Management Techonlogy (SIMAT), Vavannor, Koottanad (via), Palakkad 679533",APJ Abdul Kalam Technological University,Palakkad,Engineering/Technical College,Unaided,https://www.google.com/maps/search/?api=1&query=Sreepathy%20Institute%20Of%20Management%20Techonlogy%20%28SIMAT%29%2C%20Vavannor%2C%20Koottanad%20%28via%29%2C%20Palakkad%20679533,False
Indian Institute of Space Science and Technology,1110,"Indian Institute of Space Science and Technology, Valiamala,Thiruvananthapuram",Indian Institute of Space Science and Technology,Thiruvananthapuram,Engineering Institute,,https://www.google.com/maps/search/?api=1&query=Indian%20Institute%20of%20Space%20Science%20and%20Technology%2C%20Valiamala%2CThiruvananthapuram,False
"SI-MET College of Nursing, Muttathara",1111,"SI-MET College of Nursing, Muttathara, Vanchiyoor P.O, Thiruvananthapuram - 695035",Kerala University of Health Sciences,Thiruvananthapuram,Nursing College,Aided,https://maps.app.goo.gl/MkfuVzddcc5Ueyo26,False
"Lakshya Indian Institute of Commerce, Kochi",1112,"Lakshya Indian Institute of Commerce, Adv Easwara Iyer Rd, Pullepady, Kochi 682035, Kerala",,Ernakulam,Commerce Professional,unaided,https://maps.app.goo.gl/JcRSSk2M85CXUZQS9,False
"SIRC of The Institute of Chartered Accountants of India, Thrissur",1113,"The Institute of Chartered Accountants of India (ICAI), Thrissur Branch, ICAI Bhavan, Chiyyaram, Thrissur - 680026, Kerala",,Thrissur,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=The%20Institute%20of%20Chartered%20Accountants%20of%20India%20%28ICAI%29%2C%20Thrissur%20Branch%2C%20ICAI%20Bhavan%2C%20Chiyyaram%2C%20Thrissur%20-%20680026%2C%20Kerala,False
"Logic School of Management, Malappuram",1114,"Logic School of Management, 2nd Floor, Konnakkatil Tower, above Federal Bank, Valanchery, Malappuram",,Malappuram,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Logic%20School%20of%20Management%2C%202nd%20Floor%2C%20Konnakkatil%20Tower%2C%20above%20Federal%20Bank%2C%20Valanchery%2C%20Malappuram,False
"Logic School of Management, Kochi",1115,"Logic School of Management, 4th Floor, Above Bismi Building , Palarivattom Junction, Palarivattom, Kochi , Kerala, 682025",,Ernakulam,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Logic%20School%20of%20Management%2C%204th%20Floor%2C%20Above%20Bismi%20Building%20%2C%20Palarivattom%20Junction%2C%20Palarivattom%2C%20Kochi%20%2C%20Kerala%2C%20682025,False
"Logic School of Management, Kottayam",1116,"Logic School of Management, 1 st floor, Kosamattam Tower , Opp KR bakes, Nagampadam, Kottayam , Kottayam , Kerala , 686001",,Ernakulam,Commerce Professional,unaided,https://maps.app.goo.gl/L92YFsb5SYLQtxxy8,False
"Logic School of Management, Thampanoor",1117,"Logic School of Management, Narayana Building, Manorama Jn. , Opposite Horizon Hotel, Aristo jn. Thampanoor , Trivandrum , Kerala , 695001",,Thiruvananthapuram,Commerce Professional,unaided,https://maps.app.goo.gl/JfCnpJzW791hkJ6M8,False
"Logic School of Management, Kozhikode",1118,"Logic School of Management, esari building , 2nd floor, Madhavan Nair Rd, near Pushpa Jn. , Chalappuram , Kozhikode , Kerala , 673002",,Kozhikode,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Logic%20School%20of%20Management%2C%20esari%20building%20%2C%202nd%20floor%2C%20Madhavan%20Nair%20Rd%2C%20near%20Pushpa%20Jn.%20%2C%20Chalappuram%20%2C%20Kozhikode%20%2C%20Kerala%20%2C%20673002,False
"Logic School of Management, Palakkad",1119,"Logic School of Management, 1st floor, Anu's Arcade, Matha kovil, Sulthanpet, Palakkad, Palakkad, Kerala, 678001",,Palakkad,Commerce Professional,unaided,https://maps.app.goo.gl/mXCQr3yrstSyWKRa7,False
"Pearl CA College, Kochi",1120,"Pearl CA College, MRRA 114A Engineers Colony, Moolepadam Rd, Vazhakkala, Kochi, Kerala 682021",,Ernakulam,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Pearl%20CA%20College%2C%20MRRA%20114A%20Engineers%20Colony%2C%20Moolepadam%20Rd%2C%20Vazhakkala%2C%20Kochi%2C%20Kerala%20682021,False
"INPROX Institute of Professional Excellence, Thrissur",1121,"INPROX Institute of Professional Excellence,3rd Floor, Marva Arcade, Machingal Lane, MG Road, Thrissur   680 001",,Thrissur,Commerce Professional,unaided,https://maps.app.goo.gl/CkoU2DqynX6iAwFJ9,False
"Pillai's Academy, Kaloor",1122,"Pillai's Academy, Judges Avenue Road, Second Floor, Friday Club Building, Kaloor, Ernakulam, Kerala 682017",,Ernakulam,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Pillai%27s%20Academy%2C%20Judges%20Avenue%20Road%2C%20Second%20Floor%2C%20Friday%20Club%20Building%2C%20Kaloor%2C%20Ernakulam%2C%20Kerala%20682017,False
"RCCA, Sasthamangalam",1123,"RCCA, Sankar Ln, Near R K D NSS SCHOOL, Sasthamangalam, Thiruvananthapuram",,Thiruvananthapuram,Commerce Professional,unaided,https://maps.app.goo.gl/WkLGPXWv4fcf1wMj8,False
Biswas Institute of Management Studies Changanassery,1124,"Biswas Institute of Management Studies, Thengana, Perumpanachy P.O, Changanassery, Kottayam, Kerala - 686536",,Kottayam,Commerce Professional,unaided,https://maps.app.goo.gl/x1JuSeLqJbDPFPca8,False
"IAM, Thrissur",1125,"IAM Thrissur, Poothole, Thrissur, Kerala 680004",,Thrissur,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Thrissur%2C%20Poothole%2C%20Thrissur%2C%20Kerala%20680004,False
"IAM, Tirur",1126,"IAM Tirur, City Center, Tirur, Kerala 676101",,Malappuram,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Tirur%2C%20City%20Center%2C%20Tirur%2C%20Kerala%20676101,False
"IAM, Calicut",1127,"IAM Calicut, Hilite Business Park Near Hilite Mall, Pantheeram, Poovangal, Kozhikode, Kerala 673014",,Kozhikode,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Calicut%2C%20Hilite%20Business%20Park%20Near%20Hilite%20Mall%2C%20Pantheeram%2C%20Poovangal%2C%20Kozhikode%2C%20Kerala%20673014,False
"IAM, Kannur",1128,"IAM Kannur, 5th Floor, Emad Tower, Prabhat Junction, near Vasan Eye Care, Kerala 670002",,Kannur,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Kannur%2C%205th%20Floor%2C%20Emad%20Tower%2C%20Prabhat%20Junction%2C%20near%20Vasan%20Eye%20Care%2C%20Kerala%20670002,False
"IAM, Kochi",1129,"IAM Kochi, Putharikkal Building, Near High Court, Ernakulam",,Ernakulam,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Kochi%2C%20Putharikkal%20Building%2C%20Near%20High%20Court%2C%20Ernakulam,False
"IAM, Wayanad",1130,"IAM Wayanad, Kerala",,Wayanad,Commerce Professional,unaided,https://maps.app.goo.gl/7XZyMF7G2nRhduDt9,False
"IAM, Perinthalmanna",1131,"IAM Perinthalmanna, Calicut Road, KSHB Colony, Perintalmanna, Kerala 679322",,Malappuram,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Perinthalmanna%2C%20Calicut%20Road%2C%20KSHB%20Colony%2C%20Perintalmanna%2C%20Kerala%20679322,False
"IAM, Edappal",1132,"IAM Edappal, OPUS MALL, Pattambi Rd, Edappal, Kerala 679576",,Malappuram,Commerce Professional,unaided,https://maps.app.goo.gl/w8fy9vbjG3Ci2L6j7,False
"IAM, Nadapuram",1133,"IAM Nadapuram, Kozhikode, Kerala",,Kozhikode,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Nadapuram%2C%20Kozhikode%2C%20Kerala,False
"IAM, Thamarassery",1134,"IAM Thamarassery, Kozhikode, Kerala",,Kozhikode,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Thamarassery%2C%20Kozhikode%2C%20Kerala,False
"IAM, Thodupuzha",1135,"IAM Thodupuzha, 2nd floor, Town Plaza Bypass Junction Near Bus Stand Thodupuzha, Idukki, Kerala - 685584",,Idukki,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Thodupuzha%2C%202nd%20floor%2C%20Town%20Plaza%20Bypass%20Junction%20Near%20Bus%20Stand%20Thodupuzha%2C%20Idukki%2C%20Kerala%20-%20685584,False
"IAM, Kasaragod",1136,"IAM Kasaragod, Kerala",,Kasaragod,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Kasaragod%2C%20Kerala,False
"IAM, Manjeri",1137,"IAM Manjeri, KM Tower, Pandikkad Road, Neat Busstand, Manjeri, Malappuram, Kerala",,Malappuram,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=IAM%20Manjeri%2C%20KM%20Tower%2C%20Pandikkad%20Road%2C%20Neat%20Busstand%2C%20Manjeri%2C%20Malappuram%2C%20Kerala,False
"Capital Academy, Kochi",1138,"Capital Academy, 41/3098C, IInd floor, Kuruvi Buildings, St.Vincent Road, Ernakulam North, Kochi -18",,Ernakulam,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Capital%20Academy%2C%2041/3098C%2C%20IInd%20floor%2C%20Kuruvi%20Buildings%2C%20St.Vincent%20Road%2C%20Ernakulam%20North%2C%20Kochi%20-18,False
"Prayaan, Kochi",1139,"Prayaan, Kolleth Lane, Kadavanthra, Kochi - 682020, Kerala",,Ernakulam,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Prayaan%2C%20Kolleth%20Lane%2C%20Kadavanthra%2C%20Kochi%20-%20682020%2C%20Kerala,False
"Triple i Commerce Academy, Kochi",1140,"Triple i Commerce Academy, Near Pranavam hall, Alinchuvad road, Palarivattom, Kochi, Kerala 682028, India",,Ernakulam,Commerce Professional,unaided,https://www.google.com/maps/search/?api=1&query=Triple%20i%20Commerce%20Academy%2C%20Near%20Pranavam%20hall%2C%20Alinchuvad%20road%2C%20Palarivattom%2C%20Kochi%2C%20Kerala%20682028%2C%20India,False
